Filename	numReads	estFragLen	corr_estFragLen	PhantomPeak	corr_phantomPeak	argmin_corr	min_corr	phantomPeakCoef	relPhantomPeakCoef	QualityTag
77_05GS_00ICHauk_A7_H3K27Ac_hs_i77.tagAlign.gz	28758161	230	0.357795458511471	80	0.3478527	1500	0.3344475	1.06981	1.741707	2
81_05GT_00ICHauk_A11_H3K27Ac_hs_i78.tagAlign.gz	29729765	235	0.354535369039369	75	0.3485824	1500	0.3370771	1.051793	1.517415	2
86_05GU_00ICHauk_A16_H3K27Ac_hs_i80.tagAlign.gz	31902375	220	0.351537430618304	80	0.3442941	1500	0.3343554	1.051389	1.728808	2
28_05GW_00ICHauk_H3K27Ac_hs_i82.tagAlign.gz	28666812	285	0.383578197248753	75	0.3709942	1500	0.3565687	1.075748	1.872348	2
00_05H8_00ICHauk_Pooled_Input_Batch4_hs_i95.tagAlign.gz	30139083	170	0.294049701424686	75	0.2940395	1500	0.2903146	1.012866	1.002726	1
32_05GX_00ICHauk_H3K27Ac_hs_i84.tagAlign.gz	30362960	260	0.367549970912062	75	0.3606685	1500	0.3488698	1.053545	1.583245	2
44_05GY_00ICHauk_H3K27Ac_hs_i85.tagAlign.gz	28290088	255	0.332855129985905	80	0.3272486	1500	0.3164207	1.051938	1.517781	2
48_05GZ_00ICHauk_H3K27Ac_hs_i86.tagAlign.gz	20614411	265	0.318677808758704	80	0.3022129	1500	0.2856747	1.115527	1.995564	2
60_05H1_00ICHauk_H3K27Ac_hs_i88.tagAlign.gz	25941556	375	0.322265817660289	75	0.3156746	1500	0.3071288	1.049286	1.771281	2
62_05H2_00ICHauk_H3K27Ac_hs_i89.tagAlign.gz	30060568	245	0.3691295006934	75	0.3614824	1500	0.3465455	1.065169	1.511955	2
73_05H3_00ICHauk_A3_H3K27Ac_hs_i90.tagAlign.gz	21161298	250	0.261817111224113	75	0.2536026	1500	0.2462769	1.0631	2.121338	2
76_05H4_00ICHauk_A6_H3K27Ac_hs_i91.tagAlign.gz	23564822	185	0.286341048295238	75	0.2770511	1500	0.2674846	1.070496	1.971095	2
79_05H5_00ICHauk_A9_H3K27Ac_hs_i92.tagAlign.gz	24140882	195	0.371941289436868	75	0.35805	1500	0.3290381	1.13039	1.478812	1
82_05H6_00ICHauk_A12_H3K27Ac_hs_i93.tagAlign.gz	31838370	185	0.365431789902662	75	0.3604193	1500	0.3483489	1.04904	1.415272	1
84_05H7_00ICHauk_A14_H3K27Ac_hs_i94.tagAlign.gz	28682651	180	0.371091616884894	80	0.3615623	1500	0.3417186	1.085957	1.48022	1
58_05H0_00ICHauk_H3K27Ac_hs_i87.tagAlign.gz	28443363	275	0.335396606655829	75	0.3282642	1500	0.3193925	1.050108	1.803951	2
